000000000	24
100000000	24
201000000	24
202010000	0
202020000	1
202030000	2
202040000	0
202050000	3
202060000	4
203000000	5
301000000	24
302010000	24
302020100	24
302020200	11
302020300	12
302020400	11
302020500	11
302020600	11
302020700	24
302020800	24
302020900	13
302021000	24
302021100	24
302021200	24
302021300	24
302030100	24
302030200	14
302030300	14
302030400	14
302030500	24
302030600	24
302030700	14
302040100	24
302040200	24
302040300	24
302040400	24
302040500	24
302040600	24
302040700	5
302040800	24
303010000	24
303020100	15
303020200	15
303020300	15
303020400	15
303020500	15
303020600	15
303020700	15
303020800	15
303020900	15
303021000	24
303030100	24
303030201	16
303030202	16
303030203	16
303030204	16
303030301	17
303030302	17
303030303	17
303030304	17
303030401	18
303030402	18
303030403	18
303030404	18
303030501	19
303030502	19
303030503	19
303030504	19
303040100	24
303040201	20
303040202	20
303040203	20
303040204	20
303040301	21
303040302	21
303040303	21
303040304	21
303040401	22
303040402	22
303040403	22
303040404	22
303040501	23
303040502	23
303040503	23
303040504	23
303050100	24
303050200	24
303050300	24
303050400	24
303050500	13
303050600	24
304010000	6
304020000	7
304030000	8
304040000	9
304050000	10
303040200	20
303020000	15
202000000	0
302020000	24
302030000	24
302040000	24
303030200	24
303030300	24
303030400	24
303030500	24
303040200	20
303040300	20
303040400	24
303040500	24
303050000	24
304000000	6
303040320	24
303040420	24
